year,zip_code,retail_permits,retail_construction_cost,retail_permit_ratio,retail_cost_ratio,total_population,median_household_income,retail_space,retail_space_per_capita,retail_spending_potential,retail_gap,retail_opportunity_score,retail_space_change,retail_space_per_capita_change,retail_spending_potential_change,retail_gap_change,leakage_rate,leakage_per_capita,leakage_severity
2006,60014,1,130000.0,0.0714285714285714,0.0903970516653918,0.0,0.0,2000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60015,15,6529802.0,0.234375,0.3901787419395471,0.0,0.0,30000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60016,13,1813500.0,0.1733333333333333,0.3231724539811157,0.0,0.0,26000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60018,3,732873.55,0.0454545454545454,0.2757358672601993,0.0,0.0,6000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60020,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60021,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60022,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60025,7,1003000.0,0.0360824742268041,0.0755765461940352,0.0,0.0,14000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60026,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60030,2,175000.0,0.074074074074074,0.0308314357318722,0.0,0.0,4000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60031,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60035,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60041,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60042,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60043,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60044,1,140000.0,0.1,0.1422764227642276,0.0,0.0,2000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60045,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60046,1,0.0,0.0476190476190476,0.0,0.0,0.0,2000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60047,4,1186620.0,0.0714285714285714,0.0386858062248381,0.0,0.0,8000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60048,3,475000.0,0.1428571428571428,0.2027335308882673,0.0,0.0,6000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60049,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60050,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60051,2,190000.0,0.5,0.6031746031746031,0.0,0.0,4000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60053,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60054,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60056,15,880000.0,0.06,0.1089234550321893,0.0,0.0,30000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60057,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60060,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60061,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60062,12,2997500.0,0.052863436123348,0.1582933155333666,0.0,0.0,24000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60063,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60064,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60067,64,3759845.0,0.5470085470085471,0.3517240521254082,0.0,0.0,128000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60068,12,10042723.0,0.0387096774193548,0.251437635837074,0.0,0.0,24000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60069,9,919500.0,0.3333333333333333,0.2172711109986358,0.0,0.0,18000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60070,1,107000.0,0.0555555555555555,0.1134796903171068,0.0,0.0,2000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60071,1,30000.0,0.5,0.3333333333333333,0.0,0.0,2000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60073,4,40000.0,0.5714285714285714,1.0,0.0,0.0,8000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60074,1,12000.0,0.027027027027027,0.0077074954108287,0.0,0.0,2000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60076,10,184300.0,0.0323624595469255,0.0140006771678582,0.0,0.0,20000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60077,6,547556.0,0.0821917808219178,0.1038332648135478,0.0,0.0,12000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60078,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60081,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60083,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60084,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60085,2,115100.0,0.5,0.4920191165029453,0.0,0.0,4000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60089,1,12000.0,0.0294117647058823,0.0063019517144459,0.0,0.0,2000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60090,10,5367000.0,0.1282051282051282,0.5764818806433375,0.0,0.0,20000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60091,3,3560000.0,0.0666666666666666,0.2423318147433178,0.0,0.0,6000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60093,3,3071434.0,0.2,0.284151718352275,0.0,0.0,6000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60096,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60098,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60099,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60101,14,100000.0,0.0429447852760736,0.0171229270342422,0.0,0.0,28000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60102,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60103,3,1340000.0,0.1875,0.2548739895387542,0.0,0.0,6000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60104,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60106,7,0.0,0.0769230769230769,0.0,0.0,0.0,14000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60107,1,50000.0,0.2,0.1204819277108433,0.0,0.0,2000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60108,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60109,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60110,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60115,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60118,1,0.0,0.0149253731343283,0.0,0.0,0.0,2000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60120,2,15310.0,0.0444444444444444,0.001826566605972,0.0,0.0,4000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60123,60,23200.0,0.0910470409711684,0.004785972150593,0.0,0.0,120000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60124,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60126,3,468000.0,0.0245901639344262,0.0826409331323974,0.0,0.0,6000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2006,60130,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
