year,zip_code,residential_permits,residential_construction_cost,residential_permit_ratio,residential_cost_ratio,total_population,median_household_income,housing_units,housing_density,housing_value_per_unit,housing_units_change,housing_density_change,housing_value_per_unit_change
2006,60160,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60162,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60163,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60164,6,200480.0,0.1875,0.2462067483344079,0.0,0.0,9.0,0.0,22275.555555555555,0.0,0.0,0.0
2006,60169,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60171,1,100000.0,0.0769230769230769,0.1748098942400139,0.0,0.0,1.5,0.0,66666.66666666667,0.0,0.0,0.0
2006,60172,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60173,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60175,1,454235.0,0.1666666666666666,0.7637603302311113,0.0,0.0,1.5,0.0,302823.3333333333,0.0,0.0,0.0
2006,60176,6,768479.0,0.0612244897959183,0.1479212445388428,0.0,0.0,9.0,0.0,85386.55555555556,0.0,0.0,0.0
2006,60177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60178,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60181,10,612000.0,0.1219512195121951,0.0188883729564794,0.0,0.0,15.0,0.0,40800.0,0.0,0.0,0.0
2006,60185,1,193700.0,0.03125,0.0738015815713221,0.0,0.0,1.5,0.0,129133.33333333333,0.0,0.0,0.0
2006,60187,2,418350.0,0.0266666666666666,0.4393740482066901,0.0,0.0,3.0,0.0,139450.0,0.0,0.0,0.0
2006,60188,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60189,6,748783.5,0.1428571428571428,0.1875739067623411,0.0,0.0,9.0,0.0,83198.16666666667,0.0,0.0,0.0
2006,60190,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60191,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60192,1,106000.0,0.0256410256410256,0.0518753557744034,0.0,0.0,1.5,0.0,70666.66666666667,0.0,0.0,0.0
2006,60193,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
